"Host","Cluster","CanonicalName","Vendor","Model","CapacityGB","MultipathPolicy","IsLocal","IsSsd"
"10.80.24.20","Cluster_DR_Ext.","naa.600508b1001c47ad8e4ecd81f1d72874","HP","LOGICAL VOLUME","136,70","Fixed","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.6006016018504200cad9470e1b7be911","DGC","VRAID","100","RoundRobin","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.60060160185042009240d781b67be911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.60060160185042001025eced1a7be911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.6006016018504200107c5df2e747e911","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.60060160185042003082f1f3620deb11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.600508b1001c50de5e9b1acccbb7066b","HP","LOGICAL VOLUME","136,70","Fixed","False","False"
"10.80.24.20","Cluster_DR_Ext.","naa.6006016022504200c991f4806d7de911","DGC","VRAID","500","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6c89f1a1003783fdac960eb400000001","HUAWEI","XSG1","2048","RoundRobin","False","True"
"10.80.24.40","Cluster_DR","naa.60060160185042008fbc2862e847e911","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042003d5a5795baccee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200391c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200ece4686cea47e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600508b1001c758fef00f7e499d98d42","HPE","LOGICAL VOLUME","223,54","Fixed","False","True"
"10.80.24.40","Cluster_DR","naa.600601601850420057353f79e847e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200377eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a8c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200351c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a4c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042003f7eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a0c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042003b7eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042006a2047f10ef8ea11","DGC","VRAID","6144","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a9802d87e947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042005fe376382665ef11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042009ec14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200f8ea4ffb7b93ee11","DGC","VRAID","5120","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600508b1001c9b1183d37e5319637ec1","HPE","LOGICAL VOLUME","279,37","Fixed","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042009ac14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6c89f1a1003783fd21d8e9ab00000000","HUAWEI","XSG1","5","RoundRobin","False","True"
"10.80.24.40","Cluster_DR","naa.6006016018504200ec5816d113f8ea11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600601601850420045c3444bff94ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042005d75cd6de947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200bf5d47262765ef11","DGC","VRAID","35840","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042001320119be947e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200ec29b94de947e911","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200397eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600601602250420061c769f38de8ea11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200019142f66090ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042007ceab23ae947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200371c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016022504200d5d014a73eb2ea11","DGC","VRAID","500","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a6c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200edea38ace947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042000372570de947e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600601601850420069729350e847e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a2c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016022504200b983d69452e8ea11","DGC","VRAID","500","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6c89f1a1003783eb21dd80ff00000000","HUAWEI","XSG1","61460","RoundRobin","False","True"
"10.80.24.40","Cluster_DR","naa.60060160185042003d7eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.600601601850420098c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042006c2047f10ef8ea11","DGC","VRAID","6144","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200a4b775d6c660f011","DGC","VRAID","12288","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6006016018504200aac14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.6c89f1a1003783fdbef2b57a00000002","HUAWEI","XSG1","13313","RoundRobin","False","True"
"10.80.24.40","Cluster_DR","naa.60060160185042002687068beaabee11","DGC","VRAID","4","RoundRobin","False","False"
"10.80.24.40","Cluster_DR","naa.60060160185042009cc14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6c89f1a1003783fdac960eb400000001","HUAWEI","XSG1","2048","RoundRobin","False","True"
"10.80.24.50","Cluster_DR","naa.60060160185042008fbc2862e847e911","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042003d5a5795baccee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600508b1001c10f4c50c56c3a7a619bf","HPE","LOGICAL VOLUME","279,37","Fixed","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200391c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200ece4686cea47e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600601601850420057353f79e847e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200377eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200a8c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200351c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200e1cd5e8a3f3def11","DGC","VRAID","50","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200a4c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042003f7eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200a0c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042003b7eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042006a2047f10ef8ea11","DGC","VRAID","6144","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200a9802d87e947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042005fe376382665ef11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042009ec14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200f8ea4ffb7b93ee11","DGC","VRAID","5120","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042009ac14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6c89f1a1003783fd21d8e9ab00000000","HUAWEI","XSG1","5","RoundRobin","False","True"
"10.80.24.50","Cluster_DR","naa.6006016018504200ec5816d113f8ea11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200b395349f6993ee11","DGC","VRAID","555","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600601601850420045c3444bff94ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042005d75cd6de947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200bf5d47262765ef11","DGC","VRAID","35840","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042001320119be947e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200ec29b94de947e911","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200397eb5c17b93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600601602250420061c769f38de8ea11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200019142f66090ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042007ceab23ae947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200371c98787a93ee11","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016022504200d5d014a73eb2ea11","DGC","VRAID","500","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200a6c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016018504200edea38ace947e911","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.60060160185042000372570de947e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600601601850420069729350e847e911","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.600508b1001cb38ea057871559efac27","HPE","LOGICAL VOLUME","223,54","Fixed","False","True"
"10.80.24.50","Cluster_DR","naa.6006016018504200a2c14b897b93ee11","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6006016022504200b983d69452e8ea11","DGC","VRAID","500","RoundRobin","False","False"
"10.80.24.50","Cluster_DR","naa.6c89f1a1003783eb21dd80ff00000000","HUAWEI","XSG1","61460","RoundRobin","False","True"
