"Host","Cluster","CanonicalName","Vendor","Model","CapacityGB","MultipathPolicy","IsLocal","IsSsd"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160e5904900758a0b6923b430ed","DGC","VRAID","5120","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b6059000ee09664381107fe","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608360590066411d6af1780b41","DGC","VRAID","5120","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601607860590085ef40656f4c3d7d","DGC","VRAID","4096","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016083605900587d8364c42097bc","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb14900bc304e65614ec6e7","DGC","VRAID","2048","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b60590035dfab64ba4133eb","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160786059006eee4065612bedbc","DGC","VRAID","3072","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b605900b1f4966417790abd","DGC","VRAID","11752","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b60590070d99664056f7f4b","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160786059008d08416568c6370a","DGC","VRAID","4096","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb14900e02e4e65c6b20e91","DGC","VRAID","4096","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b60590057e09664595b6cfe","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059003b79836410178064","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb149005a314e659d3d0288","DGC","VRAID","1024","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb14900e02e4e6567bf5425","DGC","VRAID","2048","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601607860590017104165ec869e03","DGC","VRAID","11264","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059000c7983645ebea7fc","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016083605900417e8364c45a7e2f","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059002a78836405da2be0","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b6059002dd3ab642c023d70","DGC","VRAID","500","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b60590091dfab64a6399046","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160786059009c0b416556f9b6f6","DGC","VRAID","4096","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b605900ef4a906420d35afa","DGC","VRAID","500","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059000d77836478edf9cb","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6f4ee0802c7a46002c1205aa217b41b6","DELL","PERC H730P Adp","278,88","Fixed","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059006c798364f1b035e3","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016083605900927883640da04153","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601607860590062311b69cd3760be","DGC","VRAID","500","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016078605900c10d4165ef83ca96","DGC","VRAID","4096","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160786059001df44065c6448a60","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016078605900c8104165ebdb06e1","DGC","VRAID","3072","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b6059009addab64eaef1a2e","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb1490064278669eb77d222","DGC","VRAID","2048","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b6059005ed3ab64d610faa3","DGC","VRAID","500","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160836059007cb2896457ad0503","DGC","VRAID","600","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb14900ca360b6a284dabfb","DGC","VRAID","500","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601608fb14900d209386510da37dc","DGC","VRAID","6144","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160786059005d084165d5742c9a","DGC","VRAID","2048","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.60060160e59049007c80316a0659d73f","DGC","VRAID","1024","RoundRobin","False","False"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b605900d1e49664d56c7761","DGC","VRAID","1024","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.600601606b60590002e4ab645d9f31d1","DGC","VRAID","11752","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016078605900a30f41656dcd81d2","DGC","VRAID","11264","RoundRobin","False","True"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","naa.6006016083605900187d83644b5f27aa","DGC","VRAID","2048","RoundRobin","False","True"
