"Host","Cluster","Name","Mac","BitRatePerSec","FullDuplex","DeviceName","Driver","LinkSpeedMb","Pci"
"10.82.11.10","","vmnic0","ac:16:2d:bd:30:c4","1000","True","vmnic0",,"1000",
"10.82.11.10","","vmnic1","ac:16:2d:bd:30:c5","1000","True","vmnic1",,"1000",
"10.82.11.10","","vmnic2","ac:16:2d:bd:30:c6","1000","True","vmnic2",,"1000",
"10.82.11.10","","vmnic3","ac:16:2d:bd:30:c7","1000","True","vmnic3",,"1000",
"10.82.11.25","Cluster_DMZ","vmnic0","d8:9d:67:77:37:7c","100","True","vmnic0",,"100",
"10.82.11.25","Cluster_DMZ","vmnic1","d8:9d:67:77:37:7d","0","False","vmnic1",,,
"10.82.11.25","Cluster_DMZ","vmnic2","d8:9d:67:77:37:7e","1000","True","vmnic2",,"1000",
"10.82.11.25","Cluster_DMZ","vmnic3","d8:9d:67:77:37:7f","1000","True","vmnic3",,"1000",
"10.82.11.25","Cluster_DMZ","vmnic4","2c:76:8a:5c:87:90","0","False","vmnic4",,,
"10.82.11.25","Cluster_DMZ","vmnic5","2c:76:8a:5c:87:94","0","False","vmnic5",,,
"10.82.11.25","Cluster_DMZ","vmnic6","2c:76:8a:5c:79:40","0","False","vmnic6",,,
"10.82.11.25","Cluster_DMZ","vmnic7","2c:76:8a:5c:79:44","0","False","vmnic7",,,
"10.82.11.25","Cluster_DMZ","vmnic8","2c:76:8a:5c:90:50","0","False","vmnic8",,,
"10.82.11.25","Cluster_DMZ","vmnic9","2c:76:8a:5c:90:54","0","False","vmnic9",,,
