"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TG002VMCTX014","PoweredOn","10.80.18.117","Cluster_PF_SAGE","32","100","500,15","387,92","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","12352","10.80.16.39","TG002VMCTX014.moov-africa.tg","DS_IMAGES_ISO;DS_OS_CTX_VDA","RESEAU-DIS","vm",""
"TG002VMAPP029","PoweredOn","10.80.18.118","Cluster_PF_SAGE","8","32","332,09","81,12","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsRunning","12352","10.80.16.28","TG002VMAPP029.moov-africa.tg","DS_DATA_SHAREPOINT1;DS_IMAGES_ISO","RESEAU-DIS","vm",""
"TG002VMAPP084_UP","PoweredOn","10.80.18.118","Cluster_PF_SAGE","8","12","312,09","84,68","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsRunning","12352","10.80.16.160","TG002VMAPP085.moov-africa.tg","DS_IMAGES_ISO;DS_OS_APP-2b","RESEAU-DPEI","vm",""
"TEST","PoweredOn","10.80.18.19","Cluster_ESS","4","8","208,08","24,32","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","12384","169.254.100.219","WIN-A3H4K2NGG07","DS_IMAGES_ISO;DS_OS_CRISTAL","RESEAU-PROD","vm",""
"TG002VMPRTTEST","PoweredOn","10.80.18.115","Cluster_PF_BSS","12","32","332,11","56,42","CentOS 9 (64-bit)","rhel8_64Guest","vmx-14","guestToolsRunning","12448","10.80.16.31","tg002vmprttest","DS_IMAGES_ISO;DS_OS_PORTING","RESEAU-DIS","vm",""
"TG002VMAPP128","PoweredOff","10.80.18.118","Cluster_PF_SAGE","8","16","162,88","146",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","12384","",,"DS_OS_MFL","RESEAU-DPEI","vm",""
"TG002VMCTX001","PoweredOn","10.80.18.118","Cluster_PF_SAGE","4","12","212,09","84,89",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DS_IMAGES_ISO;DS_RESTO_SAGE","RESEAU-DPEI","vm",""
"TG002VMMON-FLK001","PoweredOn","10.80.18.24","Cluster_SAGE","24","128","4064,12","4064,12","Red Hat Enterprise Linux 8 (64-bit)","rhel8_64Guest","vmx-21","guestToolsRunning","12357","10.80.18.39","tg002vmmon-flk001","DS_OS_SUP_CEPNM","RESEAU-PROD","vm","This Virtual Appliance installs Evolved Programmable Network Manager"
"TG002VMMDW001","PoweredOn","10.80.18.116","Cluster_PF_BSS","2","8","213,08","34,79","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsRunning","12384","10.80.16.188","TG002VMMDW001.moov-africa.tg","DS_IMAGES_ISO;DS_OS_AD-00","RESEAU-DPEI","vm",""
"TG002VMAPP133","PoweredOn","10.80.18.19","Cluster_ESS","12","100","2553,1","175,95","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsRunning","12384","10.80.16.117","TG002VMAPP133.moov-africa.tg","DS_DATA_APP133;DS_IMAGES_ISO;DS_OS_APP133","RESEAU-DIS","vm",""
