"Host","Cluster","CanonicalName","Vendor","Model","CapacityGB","MultipathPolicy","IsLocal","IsSsd"
"10.80.18.70","Cluster_DWH","naa.60060160e5904900758a0b6923b430ed","DGC","VRAID","5120","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f045001e0ab65c820c4d2f","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb14900f2e737653716ce0d","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500868e005ef11a5359","DGC","VRAID","7170","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f045006346a460df22ab4b","DGC","VRAID","5120","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb14900f2e73765fba14f23","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f045001c6044614e1fd69e","DGC","VRAID","500","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f045009c4e75624e2d3717","DGC","VRAID","3072","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500d9c65c5ebe0670e8","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb149008ce837657068a9aa","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500fcbd3862b529d0ef","DGC","VRAID","13312","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f045009928b86457a899f6","DGC","VRAID","3072","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500e198e65c61c7df71","DGC","VRAID","500","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f0450052a5bb5f25520c04","DGC","VRAID","10240","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500640ab65c3049c342","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb1490068e837652e43633f","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f0450077224f6225fef3fb","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.60060160e590490018d4495c59423c70","DGC","VRAID","6144","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f04500d625f35ffe1f01f4","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f045002909b65c2853881f","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500db09b65c19dcd83c","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f0450071fb3d616103cf8c","DGC","VRAID","350","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.60060160e590490073d4495c61b555c4","DGC","VRAID","8192","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f045006509b65c386aefe0","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb1490086e73765296d746b","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016064f04500c05fb9642b155a45","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb1490064278669eb77d222","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500346f1964d1e761e9","DGC","VRAID","200","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb14900ca360b6a284dabfb","DGC","VRAID","500","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500c0b95d5c756a3a4c","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.60060160e59049007c80316a0659d73f","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500846f196433c776ca","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500ae0ab65c55fc6349","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.60060160e590490048bc2067223db71c","DGC","VRAID","400","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500cf39836a95fe6f09","DGC","VRAID","60","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600508b1001c5acfa6752dae0bc853cb","HPE","LOGICAL VOLUME","279,37","Fixed","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f045005e82ea6107621683","DGC","VRAID","1024","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016074f04500c256925c7cd98ac2","DGC","VRAID","2048","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.6006016090b1490009713465505e853b","DGC","VRAID","20480","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb14900f2e73765ade17443","DGC","VRAID","4096","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.60060160e590490041d4495cd17a3481","DGC","VRAID","8192","RoundRobin","False","False"
"10.80.18.70","Cluster_DWH","naa.600601608fb14900f3e73765fe2dbeb6","DGC","VRAID","4096","RoundRobin","False","False"
