"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TG002VMAPP193","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","2032,09","232,33","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsRunning","12352","10.80.18.210","TG002VMAPP193.moov-africa.tg","DS_DATA_APP133;DS_IMAGES_ISO;DS_OS_PORTING (1)","PROD","vm",""
"TG002VMBKP001","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","6","16","18448,27","18432",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_BACKUP;DS_IMAGES_ISO","VM Network","vm",""
"TG002VMBKP102","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","5152,11","5152,11","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.25","mfsbkup-001","DS_FLZ_BACKUP;DS_IMAGES_ISO","BACK-END_VM","vm",""
"vproxy-fz","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","8","164,35","164,35","SUSE Linux Enterprise 12 (64-bit)","sles12_64Guest","vmx-11","guestToolsRunning","11269","10.80.18.121","vproxy-fz","DS_FLZN_OS_APP","VM Network","vm","This is Backup and Recovery vProxy Appliance"
"vproxy-fz_OLD","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","8","165,11","4,2",,"sles12_64Guest","vmx-11","guestToolsNotRunning","11269","","vproxy-fz","DS_FLZ_BACKUP","VM Network","vm","This is Backup and Recovery vProxy Appliance"
"TG002VMOCD005","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","1056,09","50,4",,"windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_IMAGES_ISO;DS_PROJET_OCD","VM Network","",""
"TG002VMOCD004","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","16","64","2112,11","2112,11","Ubuntu Linux (64-bit)","ubuntu64Guest","vmx-20","guestToolsRunning","13322","10.80.18.84","tg002vmocd004","DS_IMAGES_ISO;DS_PROJET_OCD","VM Network","",""
"TG002VMOCD003","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","528,09","528,09","Ubuntu Linux (64-bit)","ubuntu64Guest","vmx-20","guestToolsRunning","13322","10.80.18.83","tg002vmocd003","DS_IMAGES_ISO;DS_PROJET_OCD","VM Network","",""
"TG002VMOCD002","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","528,09","21,41","Ubuntu Linux (64-bit)","ubuntu64Guest","vmx-20","guestToolsRunning","13322","10.80.18.82","tg002vmocd002","DS_IMAGES_ISO;DS_PROJET_OCD","VM Network","",""
"TG002VMOCD001","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","8","308,08","13,7","Ubuntu Linux (64-bit)","ubuntu64Guest","vmx-20","guestToolsRunning","13322","10.80.18.81","tg002vmocd001","DS_IMAGES_ISO;DS_PROJET_OCD","VM Network","",""
"TG002VMMTR229","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","64","2614,24","2548",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","11269","",,"DS_FLZN_DATA_MTR;DS_FLZN_OS_MTR;DS_IMAGES_ISO","VM Network","",""
"TG002VMIWB222","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1566,24","1500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","11269","",,"DS_FLZN_DATA_IWB;DS_FLZN_OS_IWB;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPP217","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_APP;DS_IMAGES_ISO","VM Network","",""
"TG002VMUSD220","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_USSD;DS_IMAGES_ISO","VM Network","",""
"TG002VMDBO220","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","32","64","11328,14","11328,14","Oracle Linux 7 (64-bit)","oracleLinux7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.14","mfsprdb-001","DS_FLZN_DATA_BD;DS_FLZN_OS_BD","BACK-END_VM","",""
"TG002VMEWB214","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1566,24","1500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","11269","",,"DS_FLZN_DATA_EWB;DS_FLZN_OS_EWB;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPI214","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_API;DS_IMAGES_ISO","VM Network","",""
"TG002VMUSD221","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","12","514,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_USSD;DS_IMAGES_ISO","VM Network","",""
"TG002VMPPP005","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","518,23","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_3PP(2);DS_IMAGES_ISO","VM Network","",""
"TG002VMAPI213","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_API;DS_IMAGES_ISO","VM Network","",""
"TG002VMSMC227","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_SMSC;DS_IMAGES_ISO","VM Network","",""
"TG002VMPPP006","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","518,23","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_3PP(2);DS_IMAGES_ISO","VM Network","",""
"TG002VMSMTP223","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","2","32","232,1","70,93","Microsoft Windows Server 2019 (64-bit)","windows2019srv_64Guest","vmx-20","guestToolsRunning","12352","10.80.29.57","TG002VMSMTP223.moov-africa.tg","DS_FLZN_DATA_USSD;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMINF107","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","804,49","352,08","VMware Photon OS (64-bit)","other3xLinux64Guest","vmx-10","guestToolsRunning","12389","10.80.18.112","TG002VMINF107.moov-africa.tg","DS_OS_VCT","VM Network","","VMware vCenter Server Appliance"
"TEST-01","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","8","98,09","98,09","Microsoft Windows Server 2019 (64-bit)","windows2019srv_64Guest","vmx-20","guestToolsRunning","12352","10.80.29.35","WIN-3F661G1FNSB","DS_FLZN_DATA_API_1","VM Network","",""
"TG002VMTAPP233","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,1","66,26",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","11269","",,"DS_FLZN_OS_TESTSRVS;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMTIWB232","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,27","0",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_TESTSRVS;DS_IMAGES_ISO","VM Network","",""
"TG002VMTDB231","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","32","534,23","500",,"oracleLinux7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_TESTSRVS;DS_IMAGES_ISO","VM Network","",""
"TEST-02","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","8","98,28","90",,"windows2019srv_64Guest","vmx-20","guestToolsNotRunning","12352","","WIN-3F661G1FNSB","DS_FLZN_DATA_API_1","BACK-END_VM","",""
"TG002VMTAPI234","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,27","0",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_TESTSRVS;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPI211","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_API_2;DS_IMAGES_ISO","VM Network","",""
"TG002VMIWB221","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1564,1","1564,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.22","mfsiweb-002","DS_FLZN_DATA_IWB;DS_FLZN_OS_IWB_2;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMPPP002","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,09","516,09","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.43","mfs3pp-002","DS_FLZN_OS_3PP;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMPPP004","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","518,23","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_3PP;DS_IMAGES_ISO","VM Network","",""
"TG002VMSMC226","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_SMSC_2;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPP215","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,1","532,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.21","mfsapp-002","DS_FLZN_OS_APP_2;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMUSD219","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_USD_4;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPI212","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_API_3;DS_IMAGES_ISO","VM Network","",""
"TG002VMUSD217","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,1","532,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.44","mfsussd-002","DS_FLZN_OS_USD_2;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMDBO219","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","32","64","11328,14","11328,14","Oracle Linux 7 (64-bit)","oracleLinux7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.16","mfsprdb-002","DS_FLZN_DATA_BD;DS_FLZN_OS_BD_2;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMMTR228","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","64","2612,1","2612,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.45","mfsivr-002","DS_FLZN_DATA_MTR;DS_FLZN_OS_MTR_2;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMEWB213","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1564,1","1564,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.46","mfseweb-002","DS_FLZN_DATA_EWB;DS_FLZN_OS_EWB_2;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMAPI210","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","534,24","500","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_API_1;DS_IMAGES_ISO","VM Network","",""
"TG002VMDBO218","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","32","64","11328,14","11328,14","Oracle Linux 7 (64-bit)","oracleLinux7_64Guest","vmx-20","guestToolsRunning","11269","","mfsdb-001","DS_FLZN_DATA_BD_1;DS_FLZN_OS_BD_1;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMAPP216","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,11","532,11",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_APP_3;DS_IMAGES_ISO","VM Network","",""
"TG002VMEWB212","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1564,11","1564,11","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.36","mfseweb-001","DS_FLZN_DATA_EWB_1;DS_FLZN_OS_EWB_1;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMUSD216","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,11","532,11","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.34","mfsussd-001","DS_FLZN_OS_USD_1;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMSMC225","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,12","532,12","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.41","mfstestsrv-001","DS_FLZN_OS_SMSC_1;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMUSD218","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","534,24","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_USD_3;DS_IMAGES_ISO","VM Network","",""
"TG002VMPPP003","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","518,23","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_3PP;DS_IMAGES_ISO","VM Network","",""
"TG002VMMTR227","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","64","2612,12","2612,12","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.35","mfsivr-001","DS_FLZN_DATA_EWB_2;DS_FLZN_DATA_IWB_2;DS_FLZN_OS_MTR_1;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMPPP001_old","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,27","500",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","11269","","mfs3pp-001","DS_FLZN_OS_3PP;DS_IMAGES_ISO","FRONT-END_VM","",""
"TG002VMPPP001","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","16","516,1","516,1","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.33","mfs3pp-001","DS_FLZN_OS_3PP;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMIWB220","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","1564,11","1564,11","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.12","mfsiweb-001","DS_FLZN_DATA_IWB_1;DS_FLZN_OS_IWB_1;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMAPP214","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","12","32","532,12","532,12","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","10.80.29.11","mfsapp-001","DS_FLZN_OS_APP_1;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMRPA002","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","1058,24","1024",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_RPA;DS_IMAGES_ISO","VM Network","",""
"TG002VMDBO224","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","32","64","13580,94","13206,64","Oracle Linux 7 (64-bit)","rhel7_64Guest","vmx-20","guestToolsRunning","11269","","mfsrpt-001","DS_FLZN_DATA_REPDB_1;DS_FLZN_DATA_REPDB_1(2);DS_FLZN_OS_REPDB_1;DS_IMAGES_ISO","BACK-END_VM","",""
"TG002VMRPT229","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","16","64","987,85","0",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_RPT_1;DS_IMAGES_ISO","VM Network","",""
"TG002VMDBO225","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","32","64","11328,33","11264",,"oracleLinux7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_DATA_REPDB_2;DS_FLZN_OS_REPDB_2;DS_IMAGES_ISO","VM Network","",""
"TG002VMRPT230","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","16","64","987,85","0",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_RPT_2;DS_IMAGES_ISO","VM Network","",""
"TG002VMRPA001","PoweredOff","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","32","1058,24","1024",,"rhel7_64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_FLZN_OS_RPA;DS_IMAGES_ISO","VM Network","",""
"TG002VMAPP220","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","6","16","316,1","231,57",,"ubuntu64Guest","vmx-20","guestToolsNotRunning","0","",,"DS_IMAGES_ISO;DS_OS_MPM","VM Network","",""
"vCLS-de95cb6c-4ac9-481f-a759-8a1de8d1f4aa","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","1","0,125","2,21","1,53","VMware Photon OS (64-bit)","other26xLinux64Guest","vmx-11","guestToolsRunning","12389","","None","DS_FLZN_DATA_REPDB_2(2)","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"vCLS-9196713c-da6a-4dbb-bbe4-634160c064c2","PoweredOn","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","1","0,125","2,21","1,59","VMware Photon OS (64-bit)","other26xLinux64Guest","vmx-11","guestToolsRunning","12389","","None","DS_FLZN_DATA_REPDB_1(2)","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"vCLS-480e8884-21ea-4b85-aa98-a11aeea5c965","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","1","0,125","2,21","1,66","VMware Photon OS (64-bit)","other26xLinux64Guest","vmx-11","guestToolsRunning","12389","","None","DS_FLZN_DATA_REPDB_2(2)","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"TG002VMCRD007","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","516,09","23,07","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.206","tg002vmcrd007","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD008","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","216,09","21,87","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.207","tg002vmcrd008","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD005","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","64","564,09","85,65","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.204","tg002vmcrd005","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD006","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","16","64","564,11","70,33","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.205","tg002vmcrd006","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD004","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","516,09","21,85","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.203","tg002vmcrd004","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD010","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","116,09","21,1","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.209","tg002vmcrd010","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD003","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","216,09","25,44","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.202","tg002vmcrd003","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD002","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","116,09","25,3","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.201","tg002vmcrd002","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD009","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","116,09","24,66","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.208","tg002vmcrd009","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD001","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","116,09","23,14","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","12448","10.80.18.200","tg002vmcrd001","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD004_UAT","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","8","16","316,09","23,8","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.199","tg002vmcrd004-uat","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD003_UAT","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","8","208,08","25,47","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.198","tg002vmcrd003-uat","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD002_UAT","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","16","16","216,11","36,43","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","13322","10.80.18.197","tg002vmcrd002-uat","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
"TG002VMCRD001_UAT","PoweredOn","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","4","8","108,09","14,74","Ubuntu Linux (64-bit)","rhel9_64Guest","vmx-20","guestToolsRunning","12448","10.80.18.196","tg002vmcrd001uat","DS_COD_CREDABLE;DS_IMAGES_ISO","PROD","",""
