"Host","Cluster","Name","Mac","BitRatePerSec","FullDuplex","DeviceName","Driver","LinkSpeedMb","Pci"
"10.80.18.70","Cluster_DWH","vmnic0","20:67:7c:0a:1b:60","1000","True","vmnic0",,"1000",
"10.80.18.70","Cluster_DWH","vmnic1","20:67:7c:0a:1b:62","0","False","vmnic1",,,
"10.80.18.70","Cluster_DWH","vmnic10","94:f1:28:a5:8e:e0","0","False","vmnic10",,,
"10.80.18.70","Cluster_DWH","vmnic11","94:f1:28:a5:8e:e4","0","False","vmnic11",,,
"10.80.18.70","Cluster_DWH","vmnic2","20:67:7c:0a:1b:64","1000","True","vmnic2",,"1000",
"10.80.18.70","Cluster_DWH","vmnic3","20:67:7c:0a:1b:66","10000","True","vmnic3",,"10000",
"10.80.18.70","Cluster_DWH","vmnic4","94:f1:28:a5:8e:e8","0","False","vmnic4",,,
"10.80.18.70","Cluster_DWH","vmnic5","94:f1:28:a5:8e:ec","0","False","vmnic5",,,
"10.80.18.70","Cluster_DWH","vmnic6","94:f1:28:a5:8e:f8","0","False","vmnic6",,,
"10.80.18.70","Cluster_DWH","vmnic7","94:f1:28:a5:8e:fc","0","False","vmnic7",,,
"10.80.18.70","Cluster_DWH","vmnic8","94:f1:28:a5:8e:f0","0","False","vmnic8",,,
"10.80.18.70","Cluster_DWH","vmnic9","94:f1:28:a5:8e:f4","0","False","vmnic9",,,
"10.80.18.75","Cluster_DWH","vmnic0","20:67:7c:0a:0f:20","10000","True","vmnic0",,"10000",
"10.80.18.75","Cluster_DWH","vmnic1","20:67:7c:0a:0f:22","10000","True","vmnic1",,"10000",
"10.80.18.75","Cluster_DWH","vmnic10","94:f1:28:a5:8f:28","0","False","vmnic10",,,
"10.80.18.75","Cluster_DWH","vmnic11","94:f1:28:a5:8f:2c","0","False","vmnic11",,,
"10.80.18.75","Cluster_DWH","vmnic2","20:67:7c:0a:0f:24","10000","True","vmnic2",,"10000",
"10.80.18.75","Cluster_DWH","vmnic3","20:67:7c:0a:0f:26","10000","True","vmnic3",,"10000",
"10.80.18.75","Cluster_DWH","vmnic4","94:f1:28:a5:8f:30","0","False","vmnic4",,,
"10.80.18.75","Cluster_DWH","vmnic5","94:f1:28:a5:8f:34","0","False","vmnic5",,,
"10.80.18.75","Cluster_DWH","vmnic6","94:f1:28:a5:8f:38","0","False","vmnic6",,,
"10.80.18.75","Cluster_DWH","vmnic7","94:f1:28:a5:8f:3c","0","False","vmnic7",,,
"10.80.18.75","Cluster_DWH","vmnic8","94:f1:28:a5:8e:d8","0","False","vmnic8",,,
"10.80.18.75","Cluster_DWH","vmnic9","94:f1:28:a5:8e:dc","0","False","vmnic9",,,
"10.80.18.118","Cluster_PF_SAGE","vmnic0","78:ac:44:90:85:9c","0","False","vmnic0",,,
"10.80.18.118","Cluster_PF_SAGE","vmnic1","78:ac:44:90:85:9d","0","False","vmnic1",,,
"10.80.18.118","Cluster_PF_SAGE","vmnic10","84:16:0c:6d:1c:60","10000","True","vmnic10",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic11","84:16:0c:6d:1c:61","10000","True","vmnic11",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic2","78:ac:44:90:85:9e","1000","True","vmnic2",,"1000",
"10.80.18.118","Cluster_PF_SAGE","vmnic3","78:ac:44:90:85:9f","1000","True","vmnic3",,"1000",
"10.80.18.118","Cluster_PF_SAGE","vmnic4","84:16:0c:6c:ac:d0","10000","True","vmnic4",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic5","84:16:0c:6c:ac:d1","10000","True","vmnic5",,"10000",
