"Host","Cluster","CanonicalName","Vendor","Model","CapacityGB","MultipathPolicy","IsLocal","IsSsd"
"10.82.11.10","","naa.60060160e5904900758a0b6923b430ed","DGC","VRAID","5120","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e59049003f7f94649e0b5436","DGC","VRAID","100","RoundRobin","False","False"
"10.82.11.10","","naa.6006016064f045001c6044614e1fd69e","DGC","VRAID","500","RoundRobin","False","False"
"10.82.11.10","","naa.6006016074f04500b72fe9615baf198d","DGC","VRAID","5120","RoundRobin","False","False"
"10.82.11.10","","naa.6006016074f04500752ee961cc3ab6d4","DGC","VRAID","1024","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e590490018d4495c59423c70","DGC","VRAID","6144","RoundRobin","False","False"
"10.82.11.10","","naa.600601607860590062311b69cd3760be","DGC","VRAID","500","RoundRobin","False","True"
"10.82.11.10","","naa.6006016064f04500d625f35ffe1f01f4","DGC","VRAID","2048","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e59049003d7f946470b63d4c","DGC","VRAID","100","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e590490073d4495c61b555c4","DGC","VRAID","8192","RoundRobin","False","False"
"10.82.11.10","","naa.600601608fb149001afe0767c4049d41","DGC","VRAID","2048","RoundRobin","False","False"
"10.82.11.10","","naa.600601608fb1490064278669eb77d222","DGC","VRAID","2048","RoundRobin","False","False"
"10.82.11.10","","naa.6006016074f045000e30e9611da5165e","DGC","VRAID","500","RoundRobin","False","False"
"10.82.11.10","","naa.600601608fb14900c93a7d66080b69b4","DGC","VRAID","3072","RoundRobin","False","False"
"10.82.11.10","","naa.600601608fb14900ca360b6a284dabfb","DGC","VRAID","500","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e5904900d0456d686dcbe82c","DGC","VRAID","12288","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e59049007c80316a0659d73f","DGC","VRAID","1024","RoundRobin","False","False"
"10.82.11.10","","naa.6006016090b14900256468662a4ba136","DGC","VRAID","2048","RoundRobin","False","False"
"10.82.11.10","","naa.6006016074f045005331e961d3240079","DGC","VRAID","3072","RoundRobin","False","False"
"10.82.11.10","","naa.60060160e59049003d7f94643b0d87dc","DGC","VRAID","100","RoundRobin","False","False"
