"Host","Cluster","Name","Mac","BitRatePerSec","FullDuplex","DeviceName","Driver","LinkSpeedMb","Pci"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic0","78:ac:44:91:9d:38","0","False","vmnic0",,,
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic1","78:ac:44:91:9d:39","0","False","vmnic1",,,
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic10","84:16:0c:6d:37:10","10000","True","vmnic10",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic11","84:16:0c:6d:37:11","10000","True","vmnic11",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic2","78:ac:44:91:9d:3a","1000","True","vmnic2",,"1000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic3","78:ac:44:91:9d:3b","1000","True","vmnic3",,"1000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic4","84:16:0c:6d:4a:00","10000","True","vmnic4",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic5","84:16:0c:6d:4a:01","10000","True","vmnic5",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic6","84:16:0c:6d:46:00","10000","True","vmnic6",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic7","84:16:0c:6d:46:01","10000","True","vmnic7",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic8","84:16:0c:6d:33:60","10000","True","vmnic8",,"10000",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic9","84:16:0c:6d:33:61","10000","True","vmnic9",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic0","78:ac:44:8f:ec:60","0","False","vmnic0",,,
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic1","78:ac:44:8f:ec:61","0","False","vmnic1",,,
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic10","84:16:0c:6d:18:70","10000","True","vmnic10",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic11","84:16:0c:6d:18:71","10000","True","vmnic11",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic2","78:ac:44:8f:ec:62","1000","True","vmnic2",,"1000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic3","78:ac:44:8f:ec:63","1000","True","vmnic3",,"1000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic4","84:16:0c:6c:8a:40","10000","True","vmnic4",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic5","84:16:0c:6c:8a:41","10000","True","vmnic5",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic6","84:16:0c:6d:40:90","10000","True","vmnic6",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic7","84:16:0c:6d:40:91","10000","True","vmnic7",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic8","84:16:0c:6c:8b:00","10000","True","vmnic8",,"10000",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmnic9","84:16:0c:6c:8b:01","10000","True","vmnic9",,"10000",
